name,city,country,iata,icao,lat,lon,elev,tz,dst,olsontz
Wabush,Wabush,Canada,YWK,CYWK,52.921944,-66.864444,1808,-4,A,America/Halifax
Williams Lake,Williams Lake,Canada,YWL,CYWL,52.183056,-122.054167,3085,-8,A,America/Vancouver
Wrigley,Wrigley,Canada,YWY,CYWY,63.209444,-123.436667,489,-7,A,America/Edmonton
Canadian Rockies Intl,Cranbrook,Canada,YXC,CYXC,49.612222,-115.781944,3084,-7,A,America/Edmonton
Edmonton City Centre,Edmonton,Canada,YXD,CYXD,53.5725,-113.520556,2200,-7,A,America/Edmonton
Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,CYXE,52.170834,-106.699722,1653,-6,N,America/Regina
Medicine Hat,Medicine Hat,Canada,YXH,CYXH,50.01889,-110.720833,2352,-7,A,America/Edmonton
Fort St John,Fort Saint John,Canada,YXJ,CYXJ,56.238056,-120.740278,2280,-7,A,America/Dawson_Creek
Sioux Lookout,Sioux Lookout,Canada,YXL,CYXL,50.113889,-91.905278,1258,-6,A,America/Winnipeg
Pangnirtung,Pangnirtung,Canada,YXP,CYXP,66.145,-65.713611,75,-5,A,America/Toronto
Timiskaming Rgnl,Earlton,Canada,YXR,CYXR,47.695,-79.848889,798,-5,A,America/Toronto
Prince George,Prince George,Canada,YXS,CYXS,53.889444,-122.678889,2267,-8,A,America/Vancouver
Terrace,Terrace,Canada,YXT,CYXT,54.468508,-128.576219,713,-8,A,America/Vancouver
London,London,Canada,YXU,CYXU,43.033056,-81.151111,912,-5,A,America/Toronto
Abbotsford,Abbotsford,Canada,YXX,CYXX,49.025278,-122.360556,195,-8,A,America/Vancouver
Whitehorse Intl,Whitehorse,Canada,YXY,CYXY,60.709553,-135.067269,2317,-8,A,America/Vancouver
North Bay,North Bay,Canada,YYB,CYYB,46.363611,-79.422778,1215,-5,A,America/Toronto
Calgary Intl,Calgary,Canada,YYC,CYYC,51.113888,-114.020278,3557,-7,A,America/Edmonton
Smithers,Smithers,Canada,YYD,CYYD,54.824722,-127.182778,1712,-8,A,America/Vancouver
Fort Nelson,Fort Nelson,Canada,YYE,CYYE,58.836389,-122.596944,1253,-8,A,America/Vancouver
Penticton,Penticton,Canada,YYF,CYYF,49.463056,-119.602222,1129,-8,A,America/Vancouver
Charlottetown,Charlottetown,Canada,YYG,CYYG,46.290001,-63.121111,160,-4,A,America/Halifax
Taloyoak,Spence Bay,Canada,YYH,CYYH,69.546667,-93.576667,92,-7,A,America/Edmonton
Victoria Intl,Victoria,Canada,YYJ,CYYJ,48.646944,-123.425833,63,-8,A,America/Vancouver
Lynn Lake,Lynn Lake,Canada,YYL,CYYL,56.863888,-101.07611,1170,-6,A,America/Winnipeg
Swift Current,Swift Current,Canada,YYN,CYYN,50.291944,-107.690556,2680,-6,N,America/Regina
Churchill,Churchill,Canada,YYQ,CYYQ,58.739167,-94.065,94,-6,A,America/Winnipeg
Goose Bay,Goose Bay,Canada,YYR,CYYR,53.319168,-60.425833,160,-4,A,America/Halifax
St Johns Intl,St. John's,Canada,YYT,CYYT,47.61861,-52.751945,461,-3.5,A,America/St_Johns
Kapuskasing,Kapuskasing,Canada,YYU,CYYU,49.413889,-82.4675,743,-5,A,America/Toronto
Armstrong,Armstrong,Canada,YYW,CYYW,50.290279,-88.909721,1058,-5,A,America/Toronto
Mont Joli,Mont Joli,Canada,YYY,CYYY,48.608612,-68.208056,172,-5,A,America/Toronto
Lester B Pearson Intl,Toronto,Canada,YYZ,CYYZ,43.677223,-79.630556,569,-5,A,America/Toronto
Downsview,Toronto,Canada,YZD,CYZD,43.7425,-79.465556,652,-5,A,America/Toronto
Gore Bay Manitoulin,Gore Bay,Canada,YZE,CYZE,45.885277,-82.567778,635,-5,A,America/Toronto
Yellowknife,Yellowknife,Canada,YZF,CYZF,62.462778,-114.440278,675,-7,A,America/Edmonton
Slave Lake,Slave Lake,Canada,YZH,CYZH,55.293056,-114.777222,1912,-7,A,America/Edmonton
Sandspit,Sandspit,Canada,YZP,CYZP,53.254333,-131.813833,21,-8,A,America/Vancouver
Chris Hadfield,Sarnia,Canada,YZR,CYZR,42.999444,-82.308889,594,-5,A,America/Toronto
Port Hardy,Port Hardy,Canada,YZT,CYZT,50.680556,-127.366667,71,-8,A,America/Vancouver
Whitecourt,Whitecourt,Canada,YZU,CYZU,54.14389,-115.786667,2567,-7,A,America/Edmonton
